Player Name,Player Rating,Team Name,Position
Andreas Pereira ,9.69,Fulham ,Midfielder
Gabriel Jesus  ,9.08,Arsenal ,Attacker
Raúl Jiménez ,9.08,Fulham ,Attacker
Alex Iwobi ,9.08,Fulham ,Attacker
Dwight McNeil  ,8.77,Everton ,Midfielder
Trent Alexander-Arnold ,8.67,Liverpool ,Defender
Cristian Romero  ,8.67,Tottenham Hotspur ,Defender
Pedro Porro ,8.67,Tottenham Hotspur ,Defender
Pablo Sarabia ,8.47,Wolverhampton Wanderers ,Attacker
Virgil van Dijk  ,8.47,Liverpool ,Defender
Ibrahima Konaté ,8.47,Liverpool ,Defender
Robert Sánchez ,8.47,Chelsea ,Goalkeeper
Tom Cairney  ,8.47,Fulham ,Midfielder
Josko Gvardiol ,8.36,Manchester City ,Defender
Pascal Groß ,8.36,Brighton & Hove Albion ,Midfielder
Jack Hinshelwood  ,8.36,Brighton & Hove Albion ,Midfielder
Dominik Szoboszlai ,8.16,Liverpool ,Midfielder
Leon Bailey ,8.06,Aston Villa ,Attacker
Alejandro Garnacho ,8.06,Manchester United ,Attacker
Heung-min Son  ,8.06,Tottenham Hotspur ,Attacker
Rúben Dias  ,8.06,Manchester City ,Defender
Ederson ,8.06,Manchester City ,Goalkeeper
John McGinn  ,8.06,Aston Villa ,Midfielder
Scott McTominay ,8.06,Manchester United ,Midfielder
James Ward-Prowse ,8.06,West Ham United ,Midfielder
Giovani Lo Celso ,8.06,Tottenham Hotspur ,Midfielder
Bukayo Saka  ,7.85,Arsenal ,Attacker
Simon Adingra ,7.85,Brighton & Hove Albion ,Attacker
Antony ,7.85,Manchester United ,Attacker
Igor  ,7.85,Brighton & Hove Albion ,Defender
Lukasz Fabianski ,7.85,West Ham United ,Goalkeeper
Martin Ødegaard  ,7.85,Arsenal ,Midfielder
Jefferson Lerma ,7.85,Crystal Palace ,Midfielder
Ryan Christie ,7.85,AFC Bournemouth ,Midfielder
Bruno Fernandes  ,7.85,Manchester United ,Midfielder
Abdoulaye Doucouré ,7.85,Everton ,Midfielder
Kai Havertz ,7.75,Arsenal ,Attacker
Luis Sinisterra  ,7.75,AFC Bournemouth ,Attacker
Kieffer Moore ,7.75,AFC Bournemouth ,Attacker
Brennan Johnson  ,7.75,Tottenham Hotspur ,Attacker
Adam Smith  ,7.75,AFC Bournemouth ,Defender
Michael Olise ,7.75,Crystal Palace ,Midfielder
Douglas Luiz ,7.75,Aston Villa ,Midfielder
Matheus Cunha ,7.65,Wolverhampton Wanderers ,Attacker
Kaoru Mitoma ,7.65,Brighton & Hove Albion ,Attacker
Willian ,7.65,Fulham ,Attacker
Ethan Pinnock  ,7.65,Brentford ,Defender
Marcos Senesi  ,7.65,AFC Bournemouth ,Defender
Ezri Konsa ,7.65,Aston Villa ,Defender
Jordan Pickford ,7.65,Everton ,Goalkeeper
Ross Barkley  ,7.65,Luton Town ,Midfielder
Alfie Doughty ,7.65,Luton Town ,Midfielder
Billy Gilmour ,7.65,Brighton & Hove Albion ,Midfielder
João Palhinha ,7.65,Fulham ,Midfielder
Lewis Miley ,7.65,Newcastle United ,Midfielder
Yves Bissouma ,7.65,Tottenham Hotspur ,Midfielder
Hee-chan Hwang ,7.45,Wolverhampton Wanderers ,Attacker
Gabriel Martinelli ,7.45,Arsenal ,Attacker
Ollie Watkins ,7.45,Aston Villa ,Attacker
Jack Harrison ,7.45,Everton ,Attacker
Beto ,7.45,Everton ,Attacker
Jarrod Bowen   ,7.45,West Ham United ,Attacker
Craig Dawson ,7.45,Wolverhampton Wanderers ,Defender
Ben White  ,7.45,Arsenal ,Defender
Gabriel Osho ,7.45,Luton Town ,Defender
Lucas Digne ,7.45,Aston Villa ,Defender
Luke Shaw  ,7.45,Manchester United ,Defender
Reece James  ,7.45,Chelsea ,Defender
James Tarkowski ,7.45,Everton ,Defender
Ashley Young ,7.45,Everton ,Defender
Jarrad Branthwaite ,7.45,Everton ,Defender
Emerson ,7.45,West Ham United ,Defender
Declan Rice ,7.45,Arsenal ,Midfielder
Vitaly Janelt ,7.45,Brentford ,Midfielder
Bernardo Silva ,7.45,Manchester City ,Midfielder
Tomas Soucek ,7.45,West Ham United ,Midfielder
Harry Wilson  ,7.34,Fulham ,Attacker
Cody Gakpo ,7.34,Liverpool ,Attacker
Dominic Calvert-Lewin  ,7.34,Everton ,Attacker
Maximilian Kilman ,7.34,Wolverhampton Wanderers ,Defender
Calvin Bassey ,7.34,Fulham ,Defender
Antonee Robinson ,7.34,Fulham ,Defender
Chris Richards ,7.34,Crystal Palace ,Defender
Sergio Reguilón ,7.34,Manchester United ,Defender
Marc Cucurella ,7.34,Chelsea ,Defender
Séamus Coleman   ,7.34,Everton ,Defender
Nayef Aguerd ,7.34,West Ham United ,Defender
Thomas Kaminski ,7.34,Luton Town ,Goalkeeper
Mark Flekken ,7.34,Brentford ,Goalkeeper
Wes Foderingham ,7.34,Sheffield United ,Goalkeeper
