Player Name,Player Rating,Team Name,Position
Bernd Leno ,9.49,Fulham ,Goalkeeper
Rodri  ,9.38,Manchester City ,Midfielder
Joachim Andersen ,8.87,Crystal Palace ,Defender
Erling Haaland ,8.87,Manchester City ,Attacker
Harvey Barnes ,8.87,Newcastle United ,Attacker
Eberechi Eze ,8.67,Crystal Palace ,Midfielder
Pervis Estupiñán ,8.67,Brighton & Hove Albion ,Defender
James Maddison ,8.47,Tottenham Hotspur ,Midfielder
Bukayo Saka ,8.47,Arsenal ,Attacker
Pascal Groß ,8.36,Brighton & Hove Albion ,Midfielder
Enzo Fernández ,8.36,Chelsea ,Midfielder
Craig Dawson ,8.36,Wolverhampton Wanderers ,Defender
Kaoru Mitoma ,8.36,Brighton & Hove Albion ,Attacker
Aaron Wan-Bissaka ,8.26,Manchester United ,Defender
Julián Álvarez ,8.26,Manchester City ,Attacker
Lucas Paquetá ,8.16,West Ham United ,Midfielder
Yves Bissouma ,8.16,Tottenham Hotspur ,Midfielder
Wesley Foderingham ,8.16,Sheffield United ,Goalkeeper
André Onana ,8.16,Manchester United ,Goalkeeper
Jarrod Bowen ,8.16,West Ham United ,Attacker
Odsonne Édouard ,8.16,Crystal Palace ,Attacker
Alexander Isak ,8.16,Newcastle United ,Attacker
Yoane Wissa ,8.06,Brentford ,Midfielder
Thomas Kaminski ,8.06,Luton Town ,Goalkeeper
João Pedro ,8.06,Brighton & Hove Albion ,Attacker
Carlton Morris ,8.06,Luton Town ,Attacker
Ollie Watkins ,8.06,Aston Villa ,Attacker
Jacob Murphy ,8.06,Newcastle United ,Attacker
Pedro Neto ,7.96,Wolverhampton Wanderers ,Attacker
Declan Rice ,7.85,Arsenal ,Midfielder
Philip Billing ,7.85,AFC Bournemouth ,Midfielder
Emiliano Martínez ,7.85,Aston Villa ,Goalkeeper
Marc Guehi ,7.85,Crystal Palace ,Defender
Kieran Trippier ,7.85,Newcastle United ,Defender
Axel Disasi ,7.85,Chelsea ,Defender
Raphaël Varane ,7.85,Manchester United ,Defender
Luke Shaw  ,7.85,Manchester United ,Defender
Evan Ferguson ,7.85,Brighton & Hove Albion ,Attacker
Alex Iwobi ,7.85,Everton ,Attacker
Mateo Kovacic ,7.75,Manchester City ,Midfielder
Amadou Onana ,7.75,Everton ,Midfielder
Jefferson Lerma ,7.75,Crystal Palace ,Midfielder
Anthony Gordon ,7.75,Newcastle United ,Attacker
Tomáš Souček ,7.65,West Ham United ,Midfielder
Harry Wilson ,7.65,Fulham ,Midfielder
Sandro Tonali ,7.65,Newcastle United ,Midfielder
Dejan Kulusevski ,7.65,Tottenham Hotspur ,Midfielder
Alexis Mac Allister ,7.65,Liverpool ,Midfielder
Matt Turner ,7.65,Nottingham Forest ,Goalkeeper
Guglielmo Vicario ,7.65,Tottenham Hotspur ,Goalkeeper
Issa Diop ,7.65,Fulham ,Defender
Sven Botman ,7.65,Newcastle United ,Defender
Zanka ,7.65,Brentford ,Defender
Ben Chilwell ,7.65,Chelsea ,Defender
Reece James  ,7.65,Chelsea ,Defender
Anthony Elanga ,7.65,Nottingham Forest ,Attacker
Dominic Solanke ,7.65,AFC Bournemouth ,Attacker
Moussa Diaby  ,7.65,Aston Villa ,Attacker
Miguel Almirón ,7.65,Newcastle United ,Attacker
Mohamed Salah ,7.65,Liverpool ,Attacker
Matheus Nunes ,7.55,Wolverhampton Wanderers ,Midfielder
Ederson ,7.55,Manchester City ,Goalkeeper
James Trafford ,7.55,Burnley ,Goalkeeper
Nathan Aké  ,7.55,Manchester City ,Defender
Nélson Semedo ,7.55,Wolverhampton Wanderers ,Defender
Thomas Partey ,7.45,Arsenal ,Midfielder
Solly March ,7.45,Brighton & Hove Albion ,Midfielder
