Player Name,Player Rating,Team Name,Position
Player:Kyle Walker  ,Player Rating : 7.04,Team Name: Manchester City ,Position : 25
Player:Nathan Aké  ,Player Rating : 7.55,Team Name: Manchester City ,Position : 25
Player:Mateo Kovacic ,Player Rating : 7.75,Team Name: Manchester City ,Position : 26
Player:Erling Haaland ,Player Rating : 8.87,Team Name: Manchester City ,Position : 27
Player:Aymeric Laporte ,Player Rating : 7.14,Team Name: Manchester City ,Position : 25
Player:Rodri  ,Player Rating : 9.38,Team Name: Manchester City ,Position : 26
Player:Kevin De Bruyne ,Player Rating : 6.94,Team Name: Manchester City ,Position : 26
Player:Julián Álvarez ,Player Rating : 8.26,Team Name: Manchester City ,Position : 27
Player:Bernardo Silva ,Player Rating : 6.83,Team Name: Manchester City ,Position : 26
Player:Josko Gvardiol ,Player Rating : 7.14,Team Name: Manchester City ,Position : 25
Player:Manuel Akanji ,Player Rating : 7.24,Team Name: Manchester City ,Position : 25
Player:Ederson ,Player Rating : 7.55,Team Name: Manchester City ,Position : 24
Player:Phil Foden ,Player Rating : 7.04,Team Name: Manchester City ,Position : 27
Player:Cole Palmer ,Player Rating : 6.63,Team Name: Manchester City ,Position : 26
Player:Rico Lewis ,Player Rating : 6.73,Team Name: Manchester City ,Position : 25
Player:James Trafford ,Player Rating : 7.55,Team Name: Burnley ,Position : 24
Player:Dara O'Shea ,Player Rating : 6.53,Team Name: Burnley ,Position : 25
Player:Louis Jordan Beyer ,Player Rating : 6.94,Team Name: Burnley ,Position : 25
Player:Josh Brownhill ,Player Rating : 6.63,Team Name: Burnley ,Position : 26
Player:Manuel Benson ,Player Rating : 6.02,Team Name: Burnley ,Position : 27
Player:Connor Roberts ,Player Rating : 6.53,Team Name: Burnley ,Position : 25
Player:Nathan Redmond ,Player Rating : 6.63,Team Name: Burnley ,Position : 26
Player:Sander Berge ,Player Rating : 6.53,Team Name: Burnley ,Position : 26
Player:Lyle Foster ,Player Rating : 6.53,Team Name: Burnley ,Position : 27
Player:Anass Zaroury ,Player Rating : 6.63,Team Name: Burnley ,Position : 26
Player:Vitinho ,Player Rating : 6.43,Team Name: Burnley ,Position : 25
Player:Josh Cullen ,Player Rating : 6.63,Team Name: Burnley ,Position : 26
Player:Amdouni Amdouni ,Player Rating : 7.04,Team Name: Burnley ,Position : 27
Player:Ameen Al-Dakhil ,Player Rating : 6.63,Team Name: Burnley ,Position : 25
Player:Luca Koleosho ,Player Rating : 6.53,Team Name: Burnley ,Position : 27
Player:Jacob Bruun Larsen ,Player Rating : 6.83,Team Name: Burnley ,Position : 27
Player:Aaron Ramsdale ,Player Rating : 6.83,Team Name: Arsenal ,Position : 24
Player:William Saliba ,Player Rating : 7.45,Team Name: Arsenal ,Position : 25
Player:Ben White ,Player Rating : 6.83,Team Name: Arsenal ,Position : 25
Player:Thomas Partey ,Player Rating : 7.45,Team Name: Arsenal ,Position : 26
Player:Gabriel Magalhães ,Player Rating : 6.43,Team Name: Arsenal ,Position : 25
Player:Bukayo Saka ,Player Rating : 8.47,Team Name: Arsenal ,Position : 27
Player:Martin Ødegaard ,Player Rating : 7.34,Team Name: Arsenal ,Position : 26
Player:Gabriel Martinelli ,Player Rating : 7.04,Team Name: Arsenal ,Position : 27
Player:Jurriën Timber ,Player Rating : 7.04,Team Name: Arsenal ,Position : 25
Player:Eddie Nketiah ,Player Rating : 7.45,Team Name: Arsenal ,Position : 27
Player:Takehiro Tomiyasu ,Player Rating : 7.04,Team Name: Arsenal ,Position : 25
Player:Leandro Trossard ,Player Rating : 7.04,Team Name: Arsenal ,Position : 27
Player:Kai Havertz  ,Player Rating : 7.45,Team Name: Arsenal ,Position : 27
Player:Declan Rice ,Player Rating : 7.85,Team Name: Arsenal ,Position : 26
Player:Matt Turner ,Player Rating : 7.65,Team Name: Nottingham Forest ,Position : 24
Player:Joe Worrall ,Player Rating : 6.73,Team Name: Nottingham Forest ,Position : 25
Player:Orel Mangala ,Player Rating : 6.32,Team Name: Nottingham Forest ,Position : 26
Player:Neco Williams ,Player Rating : 6.83,Team Name: Nottingham Forest ,Position : 25
Player:Cheikhou Kouyaté ,Player Rating : 6.73,Team Name: Nottingham Forest ,Position : 26
Player:Taiwo Awoniyi ,Player Rating : 7.45,Team Name: Nottingham Forest ,Position : 27
Player:Morgan Gibbs-White ,Player Rating : 7.14,Team Name: Nottingham Forest ,Position : 26
Player:Chris Wood ,Player Rating : 6.43,Team Name: Nottingham Forest ,Position : 27
Player:Brennan Johnson ,Player Rating : 6.43,Team Name: Nottingham Forest ,Position : 27
Player:Anthony Elanga ,Player Rating : 7.65,Team Name: Nottingham Forest ,Position : 27
